Timestamp,WaterLevel,TempValue,phValue
1704844005.644571,0,0,0
1704844308.971695,0,0,0
1704844309.971695,0,0,0
1704844310.971695,0,0,0
1704844311.971695,0,0,0
1704844312.971695,0,0,0
1704844313.971695,0,0,0
1704844314.971695,0,0,0
1704844315.971695,0,0,0
1704844316.971695,0,0,0
1704844317.971695,0,0,0
1704844318.971695,0,0,0
1704844319.971695,0,0,0
1704844320.971695,0,0,0
1704844321.971695,0,0,0
1704844322.971695,0,0,0
1704844323.971695,0,0,0
1704844324.971695,0,0,0
1704844325.971695,0,0,0
1704844326.971695,0,0,0
1704844327.971695,0,0,0
1704844328.971695,0,0,0
1704844329.971695,0,0,0
1704844330.971695,0,0,0
1704844331.971695,0,0,0
1704844332.971695,0,0,0
1704844333.971695,0,0,0
1704844334.971695,0,0,0
1704844335.971695,0,0,0
1704844336.971695,0,0,0
1704844337.971695,0,0,0
1704844309.971695,0.0,0.0,0.0
1704844310.971695,0.0,0.0,0.0
1704844311.971695,0.0,0.0,0.0
1704844312.971695,0.0,0.0,0.0
1704844313.971695,0.0,0.0,0.0
1704844314.971695,0.0,0.0,0.0
1704844315.971695,0.0,0.0,0.0
1704844316.971695,0.0,0.0,0.0
1704844317.971695,0.0,0.0,0.0
1704844318.971695,0.0,0.0,0.0
1704844319.971695,0.0,0.0,0.0
1704844320.971695,0.0,0.0,0.0
1704844321.971695,0.0,0.0,0.0
1704844322.971695,0.0,0.0,0.0
1704844323.971695,0.0,0.0,0.0
1704844324.971695,0.0,0.0,0.0
1704844325.971695,0.0,0.0,0.0
1704844326.971695,0.0,0.0,0.0
1704844327.971695,0.0,0.0,0.0
1704844328.971695,0.0,0.0,0.0
1704844329.971695,0.0,0.0,0.0
1704844330.971695,0.0,0.0,0.0
1704844331.971695,0.0,0.0,0.0
1704844332.971695,0.0,0.0,0.0
1704844333.971695,0.0,0.0,0.0
1704844334.971695,0.0,0.0,0.0
1704844335.971695,0.0,0.0,0.0
1704844336.971695,0.0,0.0,0.0
1704844337.971695,0.0,0.0,0.0
1704844338.971695,9.0,1.0,9.0
1704844310.971695,0.0,0.0,0.0
1704844311.971695,0.0,0.0,0.0
1704844312.971695,0.0,0.0,0.0
1704844313.971695,0.0,0.0,0.0
1704844314.971695,0.0,0.0,0.0
1704844315.971695,0.0,0.0,0.0
1704844316.971695,0.0,0.0,0.0
1704844317.971695,0.0,0.0,0.0
1704844318.971695,0.0,0.0,0.0
1704844319.971695,0.0,0.0,0.0
1704844320.971695,0.0,0.0,0.0
1704844321.971695,0.0,0.0,0.0
1704844322.971695,0.0,0.0,0.0
1704844323.971695,0.0,0.0,0.0
1704844324.971695,0.0,0.0,0.0
1704844325.971695,0.0,0.0,0.0
1704844326.971695,0.0,0.0,0.0
1704844327.971695,0.0,0.0,0.0
1704844328.971695,0.0,0.0,0.0
1704844329.971695,0.0,0.0,0.0
1704844330.971695,0.0,0.0,0.0
1704844331.971695,0.0,0.0,0.0
1704844332.971695,0.0,0.0,0.0
1704844333.971695,0.0,0.0,0.0
1704844334.971695,0.0,0.0,0.0
1704844335.971695,0.0,0.0,0.0
1704844336.971695,0.0,0.0,0.0
1704844337.971695,0.0,0.0,0.0
1704844338.971695,9.0,1.0,9.0
1704844339.971695,6.0,5.0,8.0
1704844311.971695,0.0,0.0,0.0
1704844312.971695,0.0,0.0,0.0
1704844313.971695,0.0,0.0,0.0
1704844314.971695,0.0,0.0,0.0
1704844315.971695,0.0,0.0,0.0
1704844316.971695,0.0,0.0,0.0
1704844317.971695,0.0,0.0,0.0
1704844318.971695,0.0,0.0,0.0
1704844319.971695,0.0,0.0,0.0
1704844320.971695,0.0,0.0,0.0
1704844321.971695,0.0,0.0,0.0
1704844322.971695,0.0,0.0,0.0
1704844323.971695,0.0,0.0,0.0
1704844324.971695,0.0,0.0,0.0
1704844325.971695,0.0,0.0,0.0
1704844326.971695,0.0,0.0,0.0
1704844327.971695,0.0,0.0,0.0
1704844328.971695,0.0,0.0,0.0
1704844329.971695,0.0,0.0,0.0
1704844330.971695,0.0,0.0,0.0
1704844331.971695,0.0,0.0,0.0
1704844332.971695,0.0,0.0,0.0
1704844333.971695,0.0,0.0,0.0
1704844334.971695,0.0,0.0,0.0
1704844335.971695,0.0,0.0,0.0
1704844336.971695,0.0,0.0,0.0
1704844337.971695,0.0,0.0,0.0
1704844338.971695,9.0,1.0,9.0
